,Rank_Grupo,Produto,Grupo,Marca,Quantidade,Custo_Total,%_Valor_no_Grupo,Dias,Ult_Compra,Ult_Venda,Faixa_Obsolescencia,Score_Priorizacao,Classificacao_ABC,Acao_Sugerida
131,1,"BARRA CHATA ACO  6 (150mm) x 3/16 (4,75) x 3000mm CH CORT. - 17,10KG/BR KG (12362)",FERR - CARBONO - BARRAS,NACIONAL,699,"R$ 4.873,09",72.0%,776,05/02/2021,14/02/2024,Crítico,46.5%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1503,1,VALV.ESF.TRIP.LATAO FORJADO 300 PR NPT 2 PC (7807),VALV - ESFERA - LATAO,MGA,7,"R$ 4.176,24",72.3%,725,03/07/2024,05/04/2024,Crítico,46.4%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
514,1,EXTENSAO FLEX VALV.PNEU 210MM 140PSI R9982C-210I UN (3611),PNHD - PNEUMATICA - ACESSORIOS,SCHEBOR,67,"R$ 385,73",63.5%,1964,04/09/2019,13/11/2020,Crítico,46.3%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1550,2,VALV.GLOBO BRONZE 300 FIG 011 1.1/2 BSP PC (5402),VALV - GLOBO - BRONZE,DECA,1,"R$ 289,80",10.4%,9586,10/10/2016,01/01/2000,Crítico,46.2%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
909,3,PARAF SEXT ZINC UNF 3/8 X 2 RI PC (17063),FIXA - PARAFUSOS - SEXTAVADO,BELENUS,200,"R$ 194,34",10.4%,9586,11/03/2024,01/01/2000,Crítico,46.2%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1589,3,VALV.RET.P/AMONIA WCB TIPO PISTAO 1.1/4 VRT-32 PC (17766),VALV - GLOBO - REFRIGERACAO,VALVUGAS,2,"R$ 1.533,60",9.8%,9586,07/01/2025,01/01/2000,Crítico,45.9%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
118,1,ATUADOR - KIT VEB 6 PP BASE F14 Q36MM CARB PC (14360),PNHD - PNEUMATICA - ATUADORES,MGA,1,"R$ 1.130,23",9.8%,9586,09/06/2021,01/01/2000,Crítico,45.9%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
184,1,BUCHA RED.PVC SOLDAVEL CTA 110 X 85MM PC (2401),CONX - PVC - PREDIAL,AMANCO,14,"R$ 228,01",9.6%,9586,11/11/2019,01/01/2000,Crítico,45.7%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1173,2,REGISTRO ESF. PVC SOLDAVEL 85MM PC (3103),CONX - PVC - PREDIAL,TECNOPLASTIC,2,"R$ 221,44",9.3%,9586,15/12/2016,01/01/2000,Crítico,45.6%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
846,2,MOLA VALV.RET.DUPLA PORT.INOX 302 24 WAF - MP PC (1471),VALV - RETENCAO - INOX,MP,2,"R$ 1.027,35",9.2%,9586,20/12/2019,01/01/2000,Crítico,45.5%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1371,2,TUBO FLEXIVEL MET.LATAO  3/4 X 300MM MACHO FIXO X FEMEA GIRAT. BSP PC (13748),ACESS - FLEXIVEL - TUBO,HAENKE,3,"R$ 389,21",69.3%,930,15/08/2023,13/09/2023,Crítico,45.5%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
558,1,FLANGE A/C LAP-JOINT (SOLTO) ANSI B16.5 CL.150LBS ASTM A-105 14 - I.D. PC (17665),CONX - CARBONO - FLANGES,IMP.GIDEOLI,10,"R$ 5.338,14",9.0%,9586,18/12/2024,01/01/2000,Crítico,45.4%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
150,1,BOBINA SOLENOIDE DANFOSS 018F6857 BG 24VCC PC (13271),VALV - CONTROLE - SOLENOIDE,DANFOSS,10,"R$ 2.542,42",8.7%,9586,21/11/2019,01/01/2000,Crítico,45.2%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
723,2,"JUNTA EXP.AXIAL FOLE INOX 304 3 X 160MM ANSI B16,5 150# WCB PC (14556)",ACESS - JUNTAS - EXPANSAO,IMB,1,"R$ 649,07",8.3%,9586,19/10/2021,01/01/2000,Crítico,45.0%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
456,1,EL-CONECTOR RETO VERMELHO 3/4 PC (12551),INCN - HIDRAULICA - ACESSORIOS,DIV.,119,"R$ 277,77",69.1%,838,06/02/2024,14/12/2023,Crítico,44.9%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
760,2,KIT REPARO P/VALVULA DANFOSS 032F233000 EVRA/EVRS 10 PC (13272),VALV - CONTROLE - SOLENOIDE,DANFOSS,6,"R$ 2.242,15",7.7%,9586,21/11/2019,01/01/2000,Crítico,44.6%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
703,2,INC-SINAL.FOTOL.PORTA CORTA FOGO 19X40CM PC (7459),INCN - ACESSORIOS - SINALIZACAO,ALIEX,20,"R$ 132,88",7.4%,9586,17/09/2016,01/01/2000,Crítico,44.4%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1336,3,TERM.ANGULAR CARB. 100MM 0-100C H/100MM R1/2 LATAO NPT - WINTER PC (16709),INDI - MEDICAO - TEMPERATURA,WINTER,3,"R$ 389,86",7.0%,9586,13/11/2023,01/01/2000,Crítico,44.2%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1405,2,TUBO PVC IRRIGA LF PN80   50MM 6MTS - CORR BR (3521),TUBO - PVC - IRRIGACAO,CORR PLASTIK,7,"R$ 122,20",59.5%,2034,25/03/2019,04/09/2020,Crítico,44.2%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1624,2,VALVULA ANTI-RETROCESSO MACARICO PR (13815),CONS - ACESS - OXICORTE,LEDAN,6,"R$ 171,70",6.9%,9586,09/09/2020,01/01/2000,Crítico,44.1%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1625,2,VALVULA ANTI-RETROCESSO MANGUEIRA PR (13816),CONS - ACESS - OXICORTE,LEDAN,6,"R$ 171,70",6.9%,9586,09/09/2020,01/01/2000,Crítico,44.1%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
